time,energy_total,spectral_variance
1.9500000000000002,0.04360574073044093,49895.92437620335
1.9600000000000002,0.04322218508371741,49811.02274298681
1.9700000000000002,0.04284201208084979,49702.33224457858
1.9800000000000002,0.04248859324340841,49918.991217254
1.99,0.04211488100178617,49762.267374133015
2.0,0.04176745618318097,49930.91764456898
2.0100000000000002,0.0414001003252261,49727.80990226183
2.02,0.04105859037327531,49850.6313075957
2.0300000000000002,0.04071990806862862,49951.194569950574
2.04,0.04038401586527215,50028.53406645093
2.0500000000000003,0.04002885158407642,49734.30655838808
2.06,0.03969867439711055,49767.05062131411
2.0700000000000003,0.03937121769437076,49777.24361324737
2.08,0.039046481662667235,49766.64578722265
2.0900000000000003,0.03872441738894666,49733.48903685553
2.1,0.0384261779040353,50028.67384305959
2.1100000000000003,0.03810924073723733,49952.62103176024
2.12,0.037794922115304844,49855.53750282622
2.13,0.037483189692447065,49736.84687466175
2.14,0.03719452664627371,49947.72326834228
2.15,0.036887767053863006,49788.57088577657
2.16,0.03660371833075834,49959.86070423281
2.17,0.03630183033846379,49758.6858044492
2.18,0.036022275811002015,49887.450639381335
2.19,0.035744881853580185,49996.82765707221
2.2,0.03545009818353328,49736.68295035214
2.21,0.035177110869697416,49805.76666709248
2.22,0.03490622994310388,49855.5371780406
2.23,0.03463744118295814,49886.198073447355
2.24,0.0343707248704442,49897.57510418659
2.25,0.03410606214945959,49889.67193720086
2.2600000000000002,0.033843439836971766,49862.8446514337
2.27,0.03358284473089412,49817.43533359953
2.2800000000000002,0.03332425275613474,49752.88763987763
2.29,0.0330858865412151,50020.918956922134
2.3000000000000003,0.0328311275342409,49919.3482038445
2.31,0.03257833883416951,49800.26923156209
2.3200000000000003,0.032345301697152946,50012.47463226104
2.33,0.0320962625293693,49857.579869857014
2.3400000000000003,0.031866678373633876,50034.12001115802
2.35,0.031621322402470044,49843.1208713856
2.3600000000000003,0.03139514285334515,49984.67743345543
2.37,0.03115342596210339,49759.24114404411
2.38,0.030930598424279854,49866.0283423501
2.39,0.030709359334261516,49955.125522515824
2.4,0.030489710170172213,50027.82392470869
2.41,0.030254969111099848,49733.76905981654
2.42,0.030038589049611493,49773.93379527278
2.43,0.029823745244558057,49796.01095442948
2.44,0.02961044050665612,49801.81763090478
2.45,0.029398657450467828,49790.67369386943
2.46,0.02918839317768642,49763.53253805706
2.47,0.02897963553152184,49720.39975505367
2.48,0.028788216178103718,50010.55310618173
2.49,0.028582323733116033,49935.19716280741
2.5,0.0283779061592934,49844.212714198045
